"sensor","tf_input_rpu","inducer_um","replicate","experiment_rpu"
"CI94","0.782812757","0.05","1","1.943012"
"CI94","0.782812757","0.05","2","1.90502"
"CI94","0.782812757","0.05","3","1.302932"
"CI94","0.782812757","0.05","4","1.351531"
"CI94","0.782812757","0.05","5","1.445779"
"CI94","0.782812757","0.05","6","1.483718"
"CI94","2.036350173","0.05","1","1.071913"
"CI94","2.036350173","0.05","2","1.050204"
"CI94","2.036350173","0.05","3","0.839624"
"CI94","2.036350173","0.05","4","0.846104"
"CI94","2.036350173","0.05","5","1.047423"
"CI94","2.036350173","0.05","6","1.047423"
"CI94","4.641370673","0.05","1","0.436906"
"CI94","4.641370673","0.05","2","0.412483"
"CI94","4.641370673","0.05","3","0.408715"
"CI94","4.641370673","0.05","4","0.421675"
"CI94","4.641370673","0.05","5","0.487828"
"CI94","4.641370673","0.05","6","0.487828"
"CI94","7.648516866","0.05","1","0.191316"
"CI94","7.648516866","0.05","2","0.184532"
"CI94","7.648516866","0.05","3","0.205249"
"CI94","7.648516866","0.05","4","0.187105"
"CI94","7.648516866","0.05","5","0.24755"
"CI94","7.648516866","0.05","6","0.235536"
"CI94","0.011855467","0.1","1","1.967436"
"CI94","0.011855467","0.1","2","2.141113"
"CI94","0.011855467","0.1","3","1.40337"
"CI94","0.011855467","0.1","4","1.487607"
"CI94","0.011855467","0.1","5","1.550111"
"CI94","0.011855467","0.1","6","1.616503"
"CI94","0.123687361","0.1","1","2.105834"
"CI94","0.123687361","0.1","2","2.192673"
"CI94","0.123687361","0.1","3","1.500567"
"CI94","0.123687361","0.1","4","1.591285"
"CI94","0.123687361","0.1","5","1.682896"
"CI94","0.123687361","0.1","6","1.787227"
"CI94","0.782812757","0.1","1","1.587517"
"CI94","0.782812757","0.1","2","1.473541"
"CI94","0.782812757","0.1","3","1.134457"
"CI94","0.782812757","0.1","4","1.108537"
"CI94","0.782812757","0.1","5","1.158078"
"CI94","0.782812757","0.1","6","1.091685"
"CI94","2.036350173","0.1","1","0.683853"
"CI94","2.036350173","0.1","2","0.575305"
"CI94","2.036350173","0.1","3","0.554512"
"CI94","2.036350173","0.1","4","0.518873"
"CI94","2.036350173","0.1","5","0.728106"
"CI94","2.036350173","0.1","6","0.747076"
"CI94","4.641370673","0.1","1","0.225237"
"CI94","4.641370673","0.1","2","0.206784"
"CI94","4.641370673","0.1","3","0.206869"
"CI94","4.641370673","0.1","4","0.206869"
"CI94","4.641370673","0.1","5","0.234587"
"CI94","4.641370673","0.1","6","0.245653"
"CI94","7.648516866","0.1","1","0.096608"
"CI94","7.648516866","0.1","2","0.086296"
"CI94","7.648516866","0.1","3","0.093472"
"CI94","7.648516866","0.1","4","0.0844"
"CI94","7.648516866","0.1","5","0.116345"
"CI94","7.648516866","0.1","6","0.116345"
"CI94","0.011855467","0.5","1","1.986431"
"CI94","0.011855467","0.5","2","2.227951"
"CI94","0.011855467","0.5","3","1.39365"
"CI94","0.011855467","0.5","4","1.529726"
"CI94","0.011855467","0.5","5","1.625988"
"CI94","0.011855467","0.5","6","1.61018"
"CI94","0.123687361","0.5","1","1.68521"
"CI94","0.123687361","0.5","2","1.660787"
"CI94","0.123687361","0.5","3","1.098817"
"CI94","0.123687361","0.5","4","1.118257"
"CI94","0.123687361","0.5","5","1.262409"
"CI94","0.123687361","0.5","6","1.660765"
"CI94","0.782812757","0.5","1","0.502035"
"CI94","0.782812757","0.5","2","0.445047"
"CI94","0.782812757","0.5","3","0.379556"
"CI94","0.782812757","0.5","4","0.373076"
"CI94","0.782812757","0.5","5","0.541574"
"CI94","0.782812757","0.5","6","0.405628"
"CI94","2.036350173","0.5","1","0.132429"
"CI94","2.036350173","0.5","2","0.126187"
"CI94","2.036350173","0.5","3","0.117447"
"CI94","2.036350173","0.5","4","0.122631"
"CI94","2.036350173","0.5","5","0.144167"
"CI94","2.036350173","0.5","6","0.139741"
"CI94","4.641370673","0.5","1","0.056174"
"CI94","4.641370673","0.5","2","0.052917"
"CI94","4.641370673","0.5","3","0.039041"
"CI94","4.641370673","0.5","4","0.040013"
"CI94","4.641370673","0.5","5","0.050585"
"CI94","4.641370673","0.5","6","0.054063"
"CI94","7.648516866","0.5","1","0.036906"
"CI94","7.648516866","0.5","2","0.034193"
"CI94","7.648516866","0.5","3","0.025433"
"CI94","7.648516866","0.5","4","0.017658"
"CI94","7.648516866","0.5","5","0.026557"
"CI94","7.648516866","0.5","6","0.036674"
"CI94","0.011855467","1.0","1","2.002714"
"CI94","0.011855467","1.0","2","2.236092"
"CI94","0.011855467","1.0","3","1.39365"
"CI94","0.011855467","1.0","4","1.516767"
"CI94","0.011855467","1.0","5","1.815681"
"CI94","0.011855467","1.0","6","1.600696"
"CI94","0.123687361","1.0","1","1.351425"
"CI94","0.123687361","1.0","2","1.348711"
"CI94","0.123687361","1.0","3","0.943301"
"CI94","0.123687361","1.0","4","0.953021"
"CI94","0.123687361","1.0","5","1.214986"
"CI94","0.123687361","1.0","6","1.208663"
"CI94","0.782812757","1.0","1","0.274084"
"CI94","0.782812757","1.0","2","0.276798"
"CI94","0.782812757","1.0","3","0.228252"
"CI94","0.782812757","1.0","4","0.231816"
"CI94","0.782812757","1.0","5","0.294973"
"CI94","0.782812757","1.0","6","0.317104"
"CI94","2.036350173","1.0","1","0.094708"
"CI94","2.036350173","1.0","2","0.093351"
"CI94","2.036350173","1.0","3","0.064636"
"CI94","2.036350173","1.0","4","0.072736"
"CI94","2.036350173","1.0","5","0.108125"
"CI94","2.036350173","1.0","6","0.100854"
"CI94","4.641370673","1.0","1","0.041248"
"CI94","4.641370673","1.0","2","0.042605"
"CI94","4.641370673","1.0","3","0.028349"
"CI94","4.641370673","1.0","4","0.028997"
"CI94","4.641370673","1.0","5","0.043946"
"CI94","4.641370673","1.0","6","0.043629"
"CI94","7.648516866","1.0","1","0.041248"
"CI94","7.648516866","1.0","2","0.031479"
"CI94","7.648516866","1.0","3","0.017982"
"CI94","7.648516866","1.0","4","0.012798"
"CI94","7.648516866","1.0","5","0.03699"
"CI94","7.648516866","1.0","6","0.031932"
"CI94","0.011855467","10.0","1","1.991859"
"CI94","0.011855467","10.0","2","2.100407"
"CI94","0.011855467","10.0","3","1.36773"
"CI94","0.011855467","10.0","4","1.520006"
"CI94","0.011855467","10.0","5","1.834651"
"CI94","0.011855467","10.0","6","1.948467"
"CI94","0.123687361","10.0","1","0.662144"
"CI94","0.123687361","10.0","2","0.651289"
"CI94","0.123687361","10.0","3","0.502673"
"CI94","0.123687361","10.0","4","0.502673"
"CI94","0.123687361","10.0","5","0.699652"
"CI94","0.123687361","10.0","6","0.699652"
"CI94","0.782812757","10.0","1","0.122931"
"CI94","0.782812757","10.0","2","0.12076"
"CI94","0.782812757","10.0","3","0.092176"
"CI94","0.782812757","10.0","4","0.091204"
"CI94","0.782812757","10.0","5","0.130572"
"CI94","0.782812757","10.0","6","0.126146"
"CI94","2.036350173","10.0","1","0.049661"
"CI94","2.036350173","10.0","2","0.049118"
"CI94","2.036350173","10.0","3","0.030293"
"CI94","2.036350173","10.0","4","0.029321"
"CI94","2.036350173","10.0","5","0.057224"
"CI94","2.036350173","10.0","6","0.054379"
"CI94","4.641370673","10.0","1","0.038535"
"CI94","4.641370673","10.0","2","0.03175"
"CI94","4.641370673","10.0","3","0.01701"
"CI94","4.641370673","10.0","4","0.017334"
"CI94","4.641370673","10.0","5","0.037623"
"CI94","4.641370673","10.0","6","0.036042"
"CI94","7.648516866","10.0","1","0.028494"
"CI94","7.648516866","10.0","2","0.021438"
"CI94","7.648516866","10.0","3","0.013122"
"CI94","7.648516866","10.0","4","0.001458"
"CI94","7.648516866","10.0","5","0.031932"
"CI94","7.648516866","10.0","6","0.017072"
"CI43470","0.011855467","0.0","1","2.27137"
"CI43470","0.011855467","0.0","2","2.401628"
"CI43470","0.011855467","0.0","3","1.688482"
"CI43470","0.011855467","0.0","4","1.646363"
"CI43470","0.011855467","0.0","6","1.809358"
