"sensor","tf_input_rpu","inducer_um","replicate","experiment_rpu"
"LexAgs91","0.782812757","0.0","2","1.183175"
"LexAgs91","0.782812757","0.0","3","1.131217"
"LexAgs91","0.782812757","0.0","4","1.144176"
"LexAgs91","0.782812757","0.0","5","1.158078"
"LexAgs91","0.782812757","0.0","6","1.120139"
"LexAgs91","2.036350173","0.0","1","1.175034"
"LexAgs91","2.036350173","0.0","2","1.112619"
"LexAgs91","2.036350173","0.0","3","1.160376"
"LexAgs91","2.036350173","0.0","4","1.225174"
"LexAgs91","2.036350173","0.0","5","1.177047"
"LexAgs91","2.036350173","0.0","6","1.126462"
"LexAgs91","4.641370673","0.0","1","1.123474"
"LexAgs91","4.641370673","0.0","2","1.12076"
"LexAgs91","4.641370673","0.0","3","1.150656"
"LexAgs91","4.641370673","0.0","4","1.137696"
"LexAgs91","4.641370673","0.0","5","1.091685"
"LexAgs91","4.641370673","0.0","6","1.107493"
"LexAgs91","7.648516866","0.0","1","1.169607"
"LexAgs91","7.648516866","0.0","2","1.044776"
"LexAgs91","7.648516866","0.0","3","1.131217"
"LexAgs91","7.648516866","0.0","4","1.102057"
"LexAgs91","7.648516866","0.0","5","1.050585"
"LexAgs91","7.648516866","0.0","6","1.018969"
"LexAgs91","0.011855467","0.001","1","1.237449"
"LexAgs91","0.011855467","0.001","2","1.19403"
"LexAgs91","0.011855467","0.001","3","1.043739"
"LexAgs91","0.011855467","0.001","4","1.089098"
"LexAgs91","0.011855467","0.001","5","1.139108"
"LexAgs91","0.011855467","0.001","6","1.148593"
"LexAgs91","0.123687361","0.001","1","1.305292"
"LexAgs91","0.123687361","0.001","2","1.278155"
"LexAgs91","0.123687361","0.001","3","1.115017"
"LexAgs91","0.123687361","0.001","4","1.118257"
"LexAgs91","0.123687361","0.001","5","1.154916"
"LexAgs91","0.123687361","0.001","6","1.170724"
"LexAgs91","0.782812757","0.001","1","1.280868"
"LexAgs91","0.782812757","0.001","2","1.321574"
"LexAgs91","0.782812757","0.001","3","1.131217"
"LexAgs91","0.782812757","0.001","4","1.144176"
"LexAgs91","0.782812757","0.001","5","1.151755"
"LexAgs91","0.782812757","0.001","6","1.18337"
"LexAgs91","2.036350173","0.001","1","1.24559"
"LexAgs91","2.036350173","0.001","2","1.204885"
"LexAgs91","2.036350173","0.001","3","1.205735"
"LexAgs91","2.036350173","0.001","4","1.134457"
"LexAgs91","2.036350173","0.001","5","1.192855"
"LexAgs91","2.036350173","0.001","6","1.154916"
"LexAgs91","4.641370673","0.001","1","1.213026"
"LexAgs91","4.641370673","0.001","2","1.210312"
"LexAgs91","4.641370673","0.001","3","1.166856"
"LexAgs91","4.641370673","0.001","4","1.134457"
"LexAgs91","4.641370673","0.001","5","1.148593"
"LexAgs91","4.641370673","0.001","6","1.132785"
"LexAgs91","7.648516866","0.001","1","1.213026"
"LexAgs91","7.648516866","0.001","2","1.085482"
"LexAgs91","7.648516866","0.001","3","1.118257"
"LexAgs91","7.648516866","0.001","4","1.063178"
"LexAgs91","7.648516866","0.001","5","1.085362"
"LexAgs91","7.648516866","0.001","6","1.091685"
"LexAgs91","0.011855467","0.01","1","1.169607"
"LexAgs91","0.011855467","0.01","2","1.253731"
"LexAgs91","0.011855467","0.01","3","1.076138"
"LexAgs91","0.011855467","0.01","4","1.124737"
"LexAgs91","0.011855467","0.01","5","1.120139"
"LexAgs91","0.011855467","0.01","6","1.126462"
"LexAgs91","0.123687361","0.01","1","1.343284"
"LexAgs91","0.123687361","0.01","2","1.427408"
"LexAgs91","0.123687361","0.01","3","1.173335"
"LexAgs91","0.123687361","0.01","4","1.183055"
"LexAgs91","0.123687361","0.01","5","1.189693"
"LexAgs91","0.123687361","0.01","6","1.192855"
"LexAgs91","0.782812757","0.01","1","1.454545"
"LexAgs91","0.782812757","0.01","2","1.202171"
"LexAgs91","0.782812757","0.01","3","1.166856"
"LexAgs91","0.782812757","0.01","4","1.137696"
"LexAgs91","0.782812757","0.01","5","1.18337"
"LexAgs91","0.782812757","0.01","6","1.135947"
"LexAgs91","2.036350173","0.01","1","1.240163"
"LexAgs91","2.036350173","0.01","2","1.218453"
"LexAgs91","2.036350173","0.01","3","1.137696"
"LexAgs91","2.036350173","0.01","4","1.202495"
"LexAgs91","2.036350173","0.01","5","1.14227"
"LexAgs91","2.036350173","0.01","6","1.148593"
"LexAgs91","4.641370673","0.01","1","1.183175"
"LexAgs91","4.641370673","0.01","2","1.213026"
"LexAgs91","4.641370673","0.01","3","1.140936"
"LexAgs91","4.641370673","0.01","4","1.205735"
"LexAgs91","4.641370673","0.01","5","1.151755"
"LexAgs91","4.641370673","0.01","6","1.161239"
"LexAgs91","7.648516866","0.01","1","1.183175"
"LexAgs91","7.648516866","0.01","2","1.069199"
"LexAgs91","7.648516866","0.01","3","1.111777"
"LexAgs91","7.648516866","0.01","4","1.066418"
"LexAgs91","7.648516866","0.01","5","1.0822"
"LexAgs91","7.648516866","0.01","6","1.056908"
"LexAgs91","0.011855467","0.05","1","1.199457"
"LexAgs91","0.011855467","0.05","2","1.305292"
"LexAgs91","0.011855467","0.05","3","1.069658"
"LexAgs91","0.011855467","0.05","4","1.108537"
"LexAgs91","0.011855467","0.05","5","1.120139"
"LexAgs91","0.011855467","0.05","6","1.126462"
"LexAgs91","0.123687361","0.05","1","1.427408"
"LexAgs91","0.123687361","0.05","2","1.473541"
"LexAgs91","0.123687361","0.05","3","1.157136"
"LexAgs91","0.123687361","0.05","4","1.166856"
"LexAgs91","0.123687361","0.05","5","1.132785"
"LexAgs91","0.123687361","0.05","6","1.170724"
"LexAgs91","0.782812757","0.05","1","1.530529"
"LexAgs91","0.782812757","0.05","2","1.327001"
"LexAgs91","0.782812757","0.05","3","1.137696"
"LexAgs91","0.782812757","0.05","4","1.105297"
"LexAgs91","0.782812757","0.05","5","1.107493"
"LexAgs91","0.782812757","0.05","6","1.056908"
"LexAgs91","2.036350173","0.05","1","1.150611"
"LexAgs91","2.036350173","0.05","2","1.139756"
"LexAgs91","2.036350173","0.05","3","1.046979"
"LexAgs91","2.036350173","0.05","4","1.063178"
"LexAgs91","2.036350173","0.05","5","1.037939"
"LexAgs91","2.036350173","0.05","6","1.053746"
"LexAgs91","4.641370673","0.05","1","0.97422"
"LexAgs91","4.641370673","0.05","2","0.957938"
"LexAgs91","4.641370673","0.05","3","0.920622"
"LexAgs91","4.641370673","0.05","4","0.917382"
"LexAgs91","4.641370673","0.05","5","0.889346"
"LexAgs91","4.641370673","0.05","6","0.911476"
"LexAgs91","7.648516866","0.05","1","0.824966"
"LexAgs91","7.648516866","0.05","2","0.789688"
"LexAgs91","7.648516866","0.05","3","0.797505"
"LexAgs91","7.648516866","0.05","4","0.778066"
"LexAgs91","7.648516866","0.05","5","0.778691"
"LexAgs91","7.648516866","0.05","6","0.753399"
"LexAgs91","0.011855467","0.1","1","1.229308"
"LexAgs91","0.011855467","0.1","2","1.43555"
"LexAgs91","0.011855467","0.1","3","1.066418"
"LexAgs91","0.011855467","0.1","4","1.144176"
"LexAgs91","0.011855467","0.1","5","1.056908"
"LexAgs91","0.011855467","0.1","6","1.091685"
"LexAgs91","0.123687361","0.1","1","1.468114"
"LexAgs91","0.123687361","0.1","2","1.446404"
"LexAgs91","0.123687361","0.1","3","1.166856"
"LexAgs91","0.123687361","0.1","4","1.186295"
"LexAgs91","0.123687361","0.1","5","1.129624"
"LexAgs91","0.123687361","0.1","6","1.161239"
"LexAgs91","0.782812757","0.1","1","1.394844"
"LexAgs91","0.782812757","0.1","2","1.213026"
"LexAgs91","0.782812757","0.1","3","1.105297"
"LexAgs91","0.782812757","0.1","4","1.108537"
"LexAgs91","0.782812757","0.1","5","1.037939"
"LexAgs91","0.782812757","0.1","6","1.053746"
"LexAgs91","2.036350173","0.1","1","1.044776"
"LexAgs91","2.036350173","0.1","2","1.04749"
"LexAgs91","2.036350173","0.1","3","1.030779"
"LexAgs91","2.036350173","0.1","4","0.969221"
"LexAgs91","2.036350173","0.1","5","0.901992"
"LexAgs91","2.036350173","0.1","6","1.009485"
"LexAgs91","4.641370673","0.1","1","0.846676"
"LexAgs91","4.641370673","0.1","2","0.824966"
"LexAgs91","4.641370673","0.1","3","0.778066"
"LexAgs91","4.641370673","0.1","4","0.810465"
"LexAgs91","4.641370673","0.1","5","0.936769"
"LexAgs91","4.641370673","0.1","6","0.936769"
"LexAgs91","7.648516866","0.1","1","0.675712"
"LexAgs91","7.648516866","0.1","2","0.700136"
"LexAgs91","7.648516866","0.1","3","0.674388"
"LexAgs91","7.648516866","0.1","4","0.648469"
"LexAgs91","7.648516866","0.1","5","0.652229"
"LexAgs91","7.648516866","0.1","6","0.639583"
"LexAgs91","0.011855467","0.5","1","1.058345"
"LexAgs91","0.011855467","0.5","2","1.175034"
"LexAgs91","0.011855467","0.5","3","1.095578"
"LexAgs91","0.011855467","0.5","4","1.131217"
"LexAgs91","0.011855467","0.5","5","1.069554"
"LexAgs91","0.011855467","0.5","6","1.088524"
"LexAgs91","0.123687361","0.5","1","1.161465"
"LexAgs91","0.123687361","0.5","2","1.153324"
"LexAgs91","0.123687361","0.5","3","1.131217"
"LexAgs91","0.123687361","0.5","4","1.144176"
"LexAgs91","0.123687361","0.5","5","1.079039"
"LexAgs91","0.123687361","0.5","6","1.072716"
"LexAgs91","0.782812757","0.5","1","0.982361"
"LexAgs91","0.782812757","0.5","2","0.990502"
"LexAgs91","0.782812757","0.5","3","0.949781"
"LexAgs91","0.782812757","0.5","4","0.946541"
"LexAgs91","0.782812757","0.5","5","0.879861"
"LexAgs91","0.782812757","0.5","6","0.841922"
"LexAgs91","2.036350173","0.5","1","0.781547"
"LexAgs91","2.036350173","0.5","2","0.773406"
"LexAgs91","2.036350173","0.5","3","0.752146"
"LexAgs91","2.036350173","0.5","4","0.742427"
"LexAgs91","2.036350173","0.5","5","0.709137"
"LexAgs91","2.036350173","0.5","6","0.696491"
"LexAgs91","4.641370673","0.5","1","0.572592"
"LexAgs91","4.641370673","0.5","2","0.572592"
"LexAgs91","4.641370673","0.5","3","0.564231"
"LexAgs91","4.641370673","0.5","4","0.583671"
"LexAgs91","4.641370673","0.5","5","0.551059"
"LexAgs91","4.641370673","0.5","6","0.544736"
"LexAgs91","7.648516866","0.5","1","0.455902"
"LexAgs91","7.648516866","0.5","2","0.458616"
"LexAgs91","7.648516866","0.5","3","0.463794"
"LexAgs91","7.648516866","0.5","4","0.444354"
"LexAgs91","7.648516866","0.5","6","0.468859"
"LexAgs91","0.011855467","1.0","1","1.419267"
"LexAgs91","0.011855467","1.0","2","1.373134"
"LexAgs91","0.011855467","1.0","3","1.241374"
"LexAgs91","0.011855467","1.0","4","1.102057"
"LexAgs91","0.011855467","1.0","5","1.116978"
"LexAgs91","0.011855467","1.0","6","1.0822"
"LexAgs91","0.123687361","1.0","1","1.289009"
"LexAgs91","0.123687361","1.0","2","1.297151"
"LexAgs91","0.123687361","1.0","3","1.176575"
"LexAgs91","0.123687361","1.0","4","1.157136"
"LexAgs91","0.123687361","1.0","5","1.06007"
"LexAgs91","0.123687361","1.0","6","1.072716"
"LexAgs91","0.782812757","1.0","1","1.020353"
"LexAgs91","0.782812757","1.0","2","1.061058"
"LexAgs91","0.782812757","1.0","3","0.813705"
"LexAgs91","0.782812757","1.0","4","0.946541"
"LexAgs91","0.782812757","1.0","5","0.895669"
"LexAgs91","0.782812757","1.0","6","0.889346"
"LexAgs91","2.036350173","1.0","1","0.811398"
"LexAgs91","2.036350173","1.0","2","0.82768"
"LexAgs91","2.036350173","1.0","3","0.726227"
"LexAgs91","2.036350173","1.0","4","0.680868"
"LexAgs91","2.036350173","1.0","5","0.67436"
"LexAgs91","2.036350173","1.0","6","0.661714"
"LexAgs91","4.641370673","1.0","1","0.594301"
"LexAgs91","4.641370673","1.0","2","0.594301"
"LexAgs91","4.641370673","1.0","3","0.531832"
"LexAgs91","4.641370673","1.0","4","0.538312"
"LexAgs91","4.641370673","1.0","5","0.49099"
"LexAgs91","4.641370673","1.0","6","0.484666"
"LexAgs91","7.648516866","1.0","1","0.510176"
"LexAgs91","7.648516866","1.0","2","0.485753"
"LexAgs91","7.648516866","1.0","3","0.437875"
"LexAgs91","7.648516866","1.0","4","0.415195"
"LexAgs91","7.648516866","1.0","5","0.424597"
"LexAgs91","7.648516866","1.0","6","0.437243"
"LexAgs91","0.011855467","10.0","1","1.39213"
"LexAgs91","0.011855467","10.0","2","1.405699"
"LexAgs91","0.011855467","10.0","3","1.221934"
"LexAgs91","0.011855467","10.0","4","1.260813"
"LexAgs91","0.011855467","10.0","5","1.154916"
"LexAgs91","0.011855467","10.0","6","1.148593"
"LexAgs91","0.123687361","10.0","1","1.343284"
"LexAgs91","0.123687361","10.0","2","1.408412"
"LexAgs91","0.123687361","10.0","3","1.176575"
"LexAgs91","0.123687361","10.0","4","1.186295"
"LexAgs91","0.123687361","10.0","5","1.085362"
"LexAgs91","0.123687361","10.0","6","1.088524"
"LexAgs91","0.782812757","10.0","1","1.050204"
"LexAgs91","0.782812757","10.0","2","1.033921"
"LexAgs91","0.782812757","10.0","3","0.907662"
"LexAgs91","0.782812757","10.0","4","0.897943"
"LexAgs91","0.782812757","10.0","5","0.848245"
"LexAgs91","0.782812757","10.0","6","0.835599"
"LexAgs91","2.036350173","10.0","1","0.795115"
"LexAgs91","2.036350173","10.0","2","0.735414"
"LexAgs91","2.036350173","10.0","3","0.674388"
"LexAgs91","2.036350173","10.0","4","0.661429"
"LexAgs91","2.036350173","10.0","5","0.652229"
"LexAgs91","2.036350173","10.0","6","0.658552"
"LexAgs91","4.641370673","10.0","1","0.537313"
"LexAgs91","4.641370673","10.0","2","0.545455"
"LexAgs91","4.641370673","10.0","3","0.489713"
"LexAgs91","4.641370673","10.0","4","0.499433"
"LexAgs91","4.641370673","10.0","5","0.487828"
"LexAgs91","4.641370673","10.0","6","0.500474"
"LexAgs91","7.648516866","10.0","1","0.442334"
"LexAgs91","7.648516866","10.0","2","0.371777"
"LexAgs91","7.648516866","10.0","3","0.376316"
"LexAgs91","7.648516866","10.0","4","0.343917"
"LexAgs91","7.648516866","10.0","5","0.399304"
"LexAgs91","7.648516866","10.0","6","0.374012"
"LexAbs94","0.011855467","0.0","1","0.656716"
"LexAbs94","0.011855467","0.0","2","0.719132"
"LexAbs94","0.011855467","0.0","4","0.661429"
"LexAbs94","0.011855467","0.0","5","0.626936"
"LexAbs94","0.011855467","0.0","6","0.664875"
"LexAbs94","0.123687361","0.0","1","0.670285"
"LexAbs94","0.123687361","0.0","2","0.68114"
"LexAbs94","0.123687361","0.0","3","0.645229"
"LexAbs94","0.123687361","0.0","4","0.680868"
"LexAbs94","0.123687361","0.0","5","0.699652"
"LexAbs94","0.123687361","0.0","6","0.699652"
"LexAbs94","0.782812757","0.0","1","0.672999"
"LexAbs94","0.782812757","0.0","2","0.675712"
"LexAbs94","0.782812757","0.0","3","0.641989"
"LexAbs94","0.782812757","0.0","4","0.651709"
"LexAbs94","0.782812757","0.0","5","0.671198"
"LexAbs94","0.782812757","0.0","6","0.683844"
"LexAbs94","2.036350173","0.0","1","0.643148"
"LexAbs94","2.036350173","0.0","2","0.640434"
"LexAbs94","2.036350173","0.0","3","0.651709"
"LexAbs94","2.036350173","0.0","4","0.641989"
"LexAbs94","2.036350173","0.0","5","0.687006"
"LexAbs94","2.036350173","0.0","6","0.652229"
"LexAbs94","4.641370673","0.0","1","0.613297"
"LexAbs94","4.641370673","0.0","2","0.63772"
"LexAbs94","4.641370673","0.0","3","0.63227"
"LexAbs94","4.641370673","0.0","4","0.61931"
"LexAbs94","4.641370673","0.0","5","0.645906"
"LexAbs94","4.641370673","0.0","6","0.661714"
"LexAbs94","7.648516866","0.0","1","0.597015"
"LexAbs94","7.648516866","0.0","2","0.510176"
"LexAbs94","7.648516866","0.0","3","0.583671"
"LexAbs94","7.648516866","0.0","4","0.538312"
"LexAbs94","7.648516866","0.0","5","0.579513"
"LexAbs94","7.648516866","0.0","6","0.544736"
"LexAbs94","0.011855467","0.001","1","0.616011"
"LexAbs94","0.011855467","0.001","2","0.63772"
"LexAbs94","0.011855467","0.001","3","0.62579"
"LexAbs94","0.011855467","0.001","4","0.684108"
"LexAbs94","0.011855467","0.001","5","0.661714"
"LexAbs94","0.011855467","0.001","6","0.668037"
"LexAbs94","0.123687361","0.001","1","0.656716"
"LexAbs94","0.123687361","0.001","2","0.648575"
"LexAbs94","0.123687361","0.001","3","0.674388"
"LexAbs94","0.123687361","0.001","4","0.697068"
"LexAbs94","0.123687361","0.001","5","0.67436"
"LexAbs94","0.123687361","0.001","6","0.668037"
"LexAbs94","0.782812757","0.001","1","0.678426"
"LexAbs94","0.782812757","0.001","2","0.694708"
"LexAbs94","0.782812757","0.001","3","0.677628"
"LexAbs94","0.782812757","0.001","4","0.697068"
"LexAbs94","0.782812757","0.001","5","0.683844"
"LexAbs94","0.782812757","0.001","6","0.680683"
"LexAbs94","2.036350173","0.001","1","0.662144"
"LexAbs94","2.036350173","0.001","2","0.648575"
"LexAbs94","2.036350173","0.001","3","0.638749"
"LexAbs94","2.036350173","0.001","4","0.63227"
"LexAbs94","2.036350173","0.001","5","0.664875"
"LexAbs94","2.036350173","0.001","6","0.668037"
"LexAbs94","4.641370673","0.001","1","0.599729"
"LexAbs94","4.641370673","0.001","2","0.613297"
"LexAbs94","4.641370673","0.001","3","0.62579"
"LexAbs94","4.641370673","0.001","4","0.59663"
"LexAbs94","4.641370673","0.001","5","0.626936"
"LexAbs94","4.641370673","0.001","6","0.620613"
"LexAbs94","7.648516866","0.001","1","0.537313"
"LexAbs94","7.648516866","0.001","2","0.496608"
"LexAbs94","7.648516866","0.001","3","0.528592"
"LexAbs94","7.648516866","0.001","4","0.541552"
"LexAbs94","7.648516866","0.001","5","0.557382"
"LexAbs94","7.648516866","0.001","6","0.506797"
"LexAbs94","0.011855467","0.01","1","0.632293"
"LexAbs94","0.011855467","0.01","2","0.664858"
"LexAbs94","0.011855467","0.01","3","0.641989"
"LexAbs94","0.011855467","0.01","4","0.671149"
"LexAbs94","0.011855467","0.01","5","0.639583"
"LexAbs94","0.011855467","0.01","6","0.671198"
"LexAbs94","0.123687361","0.01","1","0.68114"
"LexAbs94","0.123687361","0.01","2","0.656716"
"LexAbs94","0.123687361","0.01","3","0.638749"
"LexAbs94","0.123687361","0.01","4","0.641989"
"LexAbs94","0.123687361","0.01","5","0.671198"
"LexAbs94","0.123687361","0.01","6","0.677521"
"LexAbs94","0.782812757","0.01","1","0.635007"
"LexAbs94","0.782812757","0.01","2","0.632293"
"LexAbs94","0.782812757","0.01","3","0.570711"
"LexAbs94","0.782812757","0.01","4","0.554512"
"LexAbs94","0.782812757","0.01","5","0.551059"
"LexAbs94","0.782812757","0.01","6","0.566867"
"LexAbs94","2.036350173","0.01","1","0.379919"
"LexAbs94","2.036350173","0.01","2","0.358209"
"LexAbs94","2.036350173","0.01","3","0.360117"
"LexAbs94","2.036350173","0.01","4","0.366596"
"LexAbs94","2.036350173","0.01","5","0.399304"
"LexAbs94","2.036350173","0.01","6","0.38982"
"LexAbs94","4.641370673","0.01","1","0.173134"
"LexAbs94","4.641370673","0.01","2","0.167164"
"LexAbs94","4.641370673","0.01","3","0.187753"
"LexAbs94","4.641370673","0.01","4","0.175441"
"LexAbs94","4.641370673","0.01","5","0.20645"
"LexAbs94","4.641370673","0.01","6","0.20234"
"LexAbs94","7.648516866","0.01","1","0.097965"
"LexAbs94","7.648516866","0.01","2","0.083311"
"LexAbs94","7.648516866","0.01","3","0.103839"
"LexAbs94","7.648516866","0.01","4","0.092176"
"LexAbs94","7.648516866","0.01","5","0.11761"
"LexAbs94","7.648516866","0.01","6","0.105912"
"LexAbs94","0.011855467","0.05","1","0.656716"
"LexAbs94","0.011855467","0.05","2","0.767978"
"LexAbs94","0.011855467","0.05","3","0.63227"
"LexAbs94","0.011855467","0.05","4","0.684108"
"LexAbs94","0.011855467","0.05","5","0.661714"
"LexAbs94","0.011855467","0.05","6","0.677521"
"LexAbs94","0.123687361","0.05","1","0.591588"
"LexAbs94","0.123687361","0.05","2","0.605156"
"LexAbs94","0.123687361","0.05","3","0.437875"
"LexAbs94","0.123687361","0.05","4","0.467034"
"LexAbs94","0.123687361","0.05","5","0.475182"
"LexAbs94","0.123687361","0.05","6","0.468859"
"LexAbs94","0.782812757","0.05","1","0.171777"
"LexAbs94","0.782812757","0.05","2","0.16445"
"LexAbs94","0.782812757","0.05","3","0.140774"
"LexAbs94","0.782812757","0.05","4","0.136886"
"LexAbs94","0.782812757","0.05","5","0.138476"
"LexAbs94","0.782812757","0.05","6","0.139108"
"LexAbs94","2.036350173","0.05","1","0.054003"
"LexAbs94","2.036350173","0.05","2","0.040434"
"LexAbs94","2.036350173","0.05","3","0.039689"
"LexAbs94","2.036350173","0.05","4","0.040013"
"LexAbs94","2.036350173","0.05","5","0.05185"
"LexAbs94","2.036350173","0.05","6","0.057224"
"LexAbs94","4.641370673","0.05","1","0.026323"
"LexAbs94","4.641370673","0.05","2","0.022524"
"LexAbs94","4.641370673","0.05","3","0.022517"
"LexAbs94","4.641370673","0.05","4","0.020897"
"LexAbs94","4.641370673","0.05","5","0.031299"
"LexAbs94","4.641370673","0.05","6","0.026873"
"LexAbs94","7.648516866","0.05","1","0.018453"
"LexAbs94","7.648516866","0.05","2","0.014654"
"LexAbs94","7.648516866","0.05","3","0.014742"
"LexAbs94","7.648516866","0.05","4","0.009882"
"LexAbs94","7.648516866","0.05","5","0.022131"
"LexAbs94","7.648516866","0.05","6","0.017389"
"LexAbs94","0.011855467","0.1","1","0.675712"
"LexAbs94","0.011855467","0.1","2","0.75441"
"LexAbs94","0.011855467","0.1","3","0.62579"
"LexAbs94","0.011855467","0.1","4","0.664669"
"LexAbs94","0.011855467","0.1","5","0.630098"
"LexAbs94","0.011855467","0.1","6","0.658552"
"LexAbs94","0.123687361","0.1","1","0.412483"
"LexAbs94","0.123687361","0.1","2","0.426052"
"LexAbs94","0.123687361","0.1","3","0.314758"
"LexAbs94","0.123687361","0.1","4","0.324478"
"LexAbs94","0.123687361","0.1","5","0.320266"
"LexAbs94","0.123687361","0.1","6","0.326589"
"LexAbs94","0.782812757","0.1","1","0.100136"
"LexAbs94","0.782812757","0.1","2","0.094166"
"LexAbs94","0.782812757","0.1","3","0.068848"
"LexAbs94","0.782812757","0.1","4","0.075004"
"LexAbs94","0.782812757","0.1","5","0.08473"
"LexAbs94","0.782812757","0.1","6","0.079671"
"LexAbs94","2.036350173","0.1","1","0.028223"
"LexAbs94","2.036350173","0.1","2","0.029308"
"LexAbs94","2.036350173","0.1","3","0.025757"
"LexAbs94","2.036350173","0.1","4","0.022517"
"LexAbs94","2.036350173","0.1","5","0.030035"
"LexAbs94","2.036350173","0.1","6","0.030035"
"LexAbs94","4.641370673","0.1","1","0.018453"
"LexAbs94","4.641370673","0.1","2","0.015739"
"LexAbs94","4.641370673","0.1","3","0.015066"
"LexAbs94","4.641370673","0.1","4","0.013446"
"LexAbs94","4.641370673","0.1","5","0.020866"
"LexAbs94","4.641370673","0.1","6","0.019602"
"LexAbs94","7.648516866","0.1","1","0.015739"
"LexAbs94","7.648516866","0.1","2","0.013569"
"LexAbs94","7.648516866","0.1","3","0.012474"
"LexAbs94","7.648516866","0.1","4","0.00891"
"LexAbs94","7.648516866","0.1","5","0.017705"
"LexAbs94","7.648516866","0.1","6","0.014227"
"LexAbs94","0.011855467","0.5","1","0.68114"
"LexAbs94","0.011855467","0.5","2","0.635007"
"LexAbs94","0.011855467","0.5","3","0.564231"
"LexAbs94","0.011855467","0.5","4","0.62255"
"LexAbs94","0.011855467","0.5","5","0.465697"
"LexAbs94","0.011855467","0.5","6","0.53209"
"LexAbs94","0.123687361","0.5","1","0.126187"
"LexAbs94","0.123687361","0.5","2","0.124559"
"LexAbs94","0.123687361","0.5","3","0.109347"
"LexAbs94","0.123687361","0.5","4","0.104487"
"LexAbs94","0.123687361","0.5","5","0.153019"
"LexAbs94","0.123687361","0.5","6","0.160291"
"LexAbs94","0.782812757","0.5","1","0.034735"
"LexAbs94","0.782812757","0.5","2","0.032564"
"LexAbs94","0.782812757","0.5","3","0.01539"
"LexAbs94","0.782812757","0.5","4","0.021869"
"LexAbs94","0.782812757","0.5","5","0.028454"
"LexAbs94","0.782812757","0.5","6","0.035093"
"LexAbs94","2.036350173","0.5","1","0.024695"
"LexAbs94","2.036350173","0.5","2","0.018725"
"LexAbs94","2.036350173","0.5","3","0.009558"
"LexAbs94","2.036350173","0.5","4","0.012474"
"LexAbs94","4.641370673","0.5","1","0.018996"
"LexAbs94","4.641370673","0.5","2","0.018182"
"LexAbs94","4.641370673","0.5","3","0.01215"
"LexAbs94","4.641370673","0.5","4","0.013446"
"LexAbs94","7.648516866","0.5","1","0.026594"
"LexAbs94","7.648516866","0.5","2","0.027951"
"LexAbs94","7.648516866","0.5","3","0.017334"
"LexAbs94","7.648516866","0.5","4","0.011826"
"LexAbs94","0.011855467","1.0","1","0.716418"
"LexAbs94","0.011855467","1.0","2","0.729986"
"LexAbs94","0.011855467","1.0","3","0.573951"
"LexAbs94","0.011855467","1.0","4","0.63227"
"LexAbs94","0.011855467","1.0","5","0.585836"
"LexAbs94","0.011855467","1.0","6","0.617452"
"LexAbs94","0.123687361","1.0","1","0.102578"
"LexAbs94","0.123687361","1.0","2","0.083311"
"LexAbs94","0.123687361","1.0","3","0.078244"
"LexAbs94","0.123687361","1.0","4","0.075652"
"LexAbs94","0.123687361","1.0","5","0.079987"
"LexAbs94","0.123687361","1.0","6","0.077774"
"LexAbs94","0.782812757","1.0","1","0.025237"
"LexAbs94","0.782812757","1.0","2","0.030665"
"LexAbs94","0.782812757","1.0","3","0.01863"
"LexAbs94","0.782812757","1.0","4","0.022841"
"LexAbs94","0.782812757","1.0","5","0.024028"
"LexAbs94","0.782812757","1.0","6","0.023396"
"LexAbs94","2.036350173","1.0","1","0.026594"
"LexAbs94","2.036350173","1.0","2","0.023881"
"LexAbs94","2.036350173","1.0","3","0.016038"
"LexAbs94","2.036350173","1.0","4","0.014742"
"LexAbs94","2.036350173","1.0","5","0.022447"
"LexAbs94","2.036350173","1.0","6","0.021499"
"LexAbs94","4.641370673","1.0","1","0.031208"
"LexAbs94","4.641370673","1.0","2","0.028765"
"LexAbs94","4.641370673","1.0","3","0.016686"
"LexAbs94","4.641370673","1.0","4","0.009558"
"LexAbs94","4.641370673","1.0","5","0.025292"
"LexAbs94","4.641370673","1.0","6","0.022763"
"LexAbs94","7.648516866","1.0","1","0.032564"
"LexAbs94","7.648516866","1.0","2","0.035821"
"LexAbs94","7.648516866","1.0","3","0.017658"
"LexAbs94","7.648516866","1.0","4","0.01863"
"LexAbs94","7.648516866","1.0","5","0.017705"
"LexAbs94","7.648516866","1.0","6","0.024344"
"LexAbs94","0.011855467","10.0","1","0.613297"
"LexAbs94","0.011855467","10.0","2","0.640434"
"LexAbs94","0.011855467","10.0","3","0.567471"
"LexAbs94","0.011855467","10.0","4","0.60635"
"LexAbs94","0.011855467","10.0","5","0.544736"
"LexAbs94","0.011855467","10.0","6","0.601644"
"LexAbs94","0.123687361","10.0","1","0.053189"
"LexAbs94","0.123687361","10.0","2","0.058073"
"LexAbs94","0.123687361","10.0","3","0.047789"
"LexAbs94","0.123687361","10.0","4","0.046817"
"LexAbs94","0.123687361","10.0","5","0.044578"
"LexAbs94","0.123687361","10.0","6","0.048688"
"LexAbs94","0.782812757","10.0","1","0.030665"
"LexAbs94","0.782812757","10.0","2","0.026866"
"LexAbs94","0.782812757","10.0","3","0.021869"
"LexAbs94","0.782812757","10.0","4","0.021869"
"LexAbs94","0.782812757","10.0","5","0.027189"
"LexAbs94","0.782812757","10.0","6","0.026557"
